datetime,datetime,trading_datetime,order_book_id,symbol,side,position_effect,exec_id,tax,commission,last_quantity,last_price,order_id,transaction_cost
2025-05-16 09:35:00,2025-05-16 09:35:00,2025-05-16 09:35:00,10009081,300ETF沽5月3900,SELL,OPEN,17496962770033,0,130.0,100,0.0089,17496962770033,130.0
2025-05-16 14:25:00,2025-05-16 14:25:00,2025-05-16 14:25:00,10009074,300ETF购5月4100,BUY,CLOSE_TODAY,17496962770034,0,0.0,100,0.0067,17496962770034,0.0
2025-05-16 14:25:00,2025-05-16 14:25:00,2025-05-16 14:25:00,10009081,300ETF沽5月3900,BUY,CLOSE_TODAY,17496962770035,0,0.0,100,0.0094,17496962770035,0.0
2025-05-19 09:35:00,2025-05-19 09:35:00,2025-05-19 09:35:00,10009074,300ETF购5月4100,SELL,OPEN,17496962770036,0,130.0,100,0.0047,17496962770036,130.0
2025-05-19 09:35:00,2025-05-19 09:35:00,2025-05-19 09:35:00,10009081,300ETF沽5月3900,SELL,OPEN,17496962770037,0,130.0,100,0.0078,17496962770037,130.0
2025-05-19 14:25:00,2025-05-19 14:25:00,2025-05-19 14:25:00,10009074,300ETF购5月4100,BUY,CLOSE_TODAY,17496962770038,0,0.0,100,0.004,17496962770038,0.0
2025-05-19 14:25:00,2025-05-19 14:25:00,2025-05-19 14:25:00,10009081,300ETF沽5月3900,BUY,CLOSE_TODAY,17496962770039,0,0.0,100,0.0068,17496962770039,0.0
2025-05-20 09:35:00,2025-05-20 09:35:00,2025-05-20 09:35:00,10009074,300ETF购5月4100,SELL,OPEN,17496962770040,0,130.0,100,0.004,17496962770040,130.0
2025-05-20 09:35:00,2025-05-20 09:35:00,2025-05-20 09:35:00,10009081,300ETF沽5月3900,SELL,OPEN,17496962770041,0,130.0,100,0.0063,17496962770041,130.0
2025-05-20 14:25:00,2025-05-20 14:25:00,2025-05-20 14:25:00,10009074,300ETF购5月4100,BUY,CLOSE_TODAY,17496962770042,0,0.0,100,0.0056,17496962770042,0.0
2025-05-20 14:25:00,2025-05-20 14:25:00,2025-05-20 14:25:00,10009081,300ETF沽5月3900,BUY,CLOSE_TODAY,17496962770043,0,0.0,100,0.0035,17496962770043,0.0
2025-05-21 09:35:00,2025-05-21 09:35:00,2025-05-21 09:35:00,10009074,300ETF购5月4100,SELL,OPEN,17496962770044,0,130.0,100,0.0056,17496962770044,130.0
2025-05-21 09:35:00,2025-05-21 09:35:00,2025-05-21 09:35:00,10009081,300ETF沽5月3900,SELL,OPEN,17496962770045,0,130.0,100,0.0028,17496962770045,130.0
2025-05-21 14:25:00,2025-05-21 14:25:00,2025-05-21 14:25:00,10009074,300ETF购5月4100,BUY,CLOSE_TODAY,17496962770046,0,0.0,100,0.0051,17496962770046,0.0
2025-05-21 14:25:00,2025-05-21 14:25:00,2025-05-21 14:25:00,10009081,300ETF沽5月3900,BUY,CLOSE_TODAY,17496962770047,0,0.0,100,0.0023,17496962770047,0.0
2025-05-22 09:35:00,2025-05-22 09:35:00,2025-05-22 09:35:00,10009074,300ETF购5月4100,SELL,OPEN,17496962770048,0,130.0,100,0.0042,17496962770048,130.0
2025-05-22 09:35:00,2025-05-22 09:35:00,2025-05-22 09:35:00,10009081,300ETF沽5月3900,SELL,OPEN,17496962770049,0,130.0,100,0.0031,17496962770049,130.0
2025-05-22 14:25:00,2025-05-22 14:25:00,2025-05-22 14:25:00,10009074,300ETF购5月4100,BUY,CLOSE_TODAY,17496962770050,0,0.0,100,0.0047,17496962770050,0.0
2025-05-22 14:25:00,2025-05-22 14:25:00,2025-05-22 14:25:00,10009081,300ETF沽5月3900,BUY,CLOSE_TODAY,17496962770051,0,0.0,100,0.0031,17496962770051,0.0
2025-05-23 09:35:00,2025-05-23 09:35:00,2025-05-23 09:35:00,10009074,300ETF购5月4100,SELL,OPEN,17496962770052,0,130.0,100,0.0046,17496962770052,130.0
2025-05-23 09:35:00,2025-05-23 09:35:00,2025-05-23 09:35:00,10009081,300ETF沽5月3900,SELL,OPEN,17496962770053,0,130.0,100,0.0024,17496962770053,130.0
2025-05-23 14:25:00,2025-05-23 14:25:00,2025-05-23 14:25:00,10009074,300ETF购5月4100,BUY,CLOSE_TODAY,17496962770054,0,0.0,100,0.0021,17496962770054,0.0
